EventSID,DateSID,LocationSID,EventDesc,PackedLunchCount,EffectToMealCount
585,20201127,1,anonymized,0,
586,20201130,1,anonymized,0,TRUE
587,20201130,1,anonymized,0,
588,20201201,1,anonymized,0,TRUE
589,20201202,1,anonymized,0,TRUE
590,20201202,1,anonymized,0,
591,20201203,1,anonymized,0,TRUE
592,20201204,1,anonymized,0,TRUE
593,20201204,1,anonymized,0,
594,20201204,1,anonymized,0,
595,20201207,1,anonymized,0,TRUE
596,20201207,1,anonymized,0,
597,20201208,1,anonymized,0,TRUE
598,20201209,1,anonymized,0,TRUE
599,20201210,1,anonymized,0,TRUE
600,20201211,1,anonymized,0,TRUE
601,20201214,1,anonymized,0,
602,20201218,1,anonymized,0,
603,20201221,1,anonymized,0,
604,20201222,1,anonymized,0,
605,20201223,1,anonymized,0,
606,20201224,1,anonymized,0,
607,20201225,1,anonymized,0,
608,20201226,1,anonymized,0,
609,20201227,1,anonymized,0,
610,20201228,1,anonymized,0,
611,20201229,1,anonymized,0,
612,20201230,1,anonymized,0,
613,20201231,1,anonymized,0,
614,20210107,1,anonymized,0,
615,20210111,1,anonymized,0,
616,20210114,1,anonymized,0,
617,20210118,1,anonymized,0,
618,20210118,1,anonymized,0,
619,20210119,1,anonymized,0,
620,20210120,1,anonymized,0,
621,20210120,1,anonymized,0,
622,20210121,1,anonymized,0,
623,20210122,1,anonymized,0,
624,20210125,1,anonymized,0,
625,20210201,1,anonymized,0,
626,20210204,1,anonymized,0,
627,20210208,1,anonymized,0,
628,20210210,1,anonymized,0,
629,20210211,1,anonymized,0,
630,20210212,1,anonymized,0,
631,20210215,1,anonymized,0,
632,20210218,1,anonymized,0,
633,20210219,1,anonymized,0,
634,20210220,1,anonymized,0,
635,20210221,1,anonymized,0,
636,20210222,1,anonymized,0,
637,20210223,1,anonymized,0,
638,20210224,1,anonymized,0,
639,20210225,1,anonymized,0,
640,20210226,1,anonymized,0,
641,20210226,1,anonymized,0,
642,20210226,1,anonymized,0,
643,20210315,1,anonymized,0,TRUE
644,20210316,1,anonymized,0,TRUE
645,20210317,1,anonymized,0,TRUE
646,20210318,1,anonymized,0,TRUE
647,20210319,1,anonymized,0,TRUE
